_id,name,tags
684555a5e78e2a95e7cfc898,maruti 800 ac,maruti 800 ac year_old price_budget kms_mid petrol individual manual firstowner
684555a5e78e2a95e7cfc899,maruti wagon r lxi minor,maruti wagon r lxi minor year_old price_budget kms_mid petrol individual manual firstowner
684555a5e78e2a95e7cfc89a,hyundai verna 1.6 sx,hyundai verna 1.6 sx year_mid price_premium kms_high diesel individual manual firstowner
684555a5e78e2a95e7cfc89b,datsun redigo t option,datsun redigo t option year_new price_midrange kms_mid petrol individual manual firstowner
684555a5e78e2a95e7cfc89c,honda amaze vx i-dtec,honda amaze vx i-dtec year_mid price_midrange kms_high diesel individual manual secondowner
684555a5e78e2a95e7cfc89d,maruti alto lx bsiii,maruti alto lx bsiii year_old price_budget kms_high petrol individual manual firstowner
684555a5e78e2a95e7cfc89e,hyundai xcent 1.2 kappa s,hyundai xcent 1.2 kappa s year_mid price_midrange kms_low petrol individual manual firstowner
684555a5e78e2a95e7cfc89f,tata indigo grand petrol,tata indigo grand petrol year_mid price_midrange kms_mid petrol individual manual secondowner
684555a5e78e2a95e7cfc8a0,hyundai creta 1.6 vtvt s,hyundai creta 1.6 vtvt s year_mid price_premium kms_low petrol individual manual firstowner
684555a5e78e2a95e7cfc8a1,maruti celerio green vxi,maruti celerio green vxi year_new price_midrange kms_mid cng individual manual firstowner
684555a5e78e2a95e7cfc8a2,chevrolet sail 1.2 base,chevrolet sail 1.2 base year_mid price_midrange kms_mid petrol individual manual firstowner
684555a5e78e2a95e7cfc8a3,toyota corolla altis 1.8 vl cvt,toyota corolla altis 1.8 vl cvt year_new price_premium kms_low petrol dealer automatic firstowner
684555a5e78e2a95e7cfc8a4,maruti ciaz vxi plus,maruti ciaz vxi plus year_mid price_midrange kms_low petrol dealer manual firstowner
684555a5e78e2a95e7cfc8a5,hyundai venue sx opt diesel,hyundai venue sx opt diesel year_new price_premium kms_low diesel dealer manual firstowner
